Estimate,Condition,Feedback
100,pos,100
100,neut,100
100,neg,78
99,pos,100
99,neut,98
99,neg,79
98,pos,100
98,neut,99
98,neg,79
97,pos,100
97,neut,99
97,neg,76
96,pos,100
96,neut,96
96,neg,75
95,pos,100
95,neut,95
95,neg,74
94,pos,100
94,neut,93
94,neg,73
93,pos,100
93,neut,91
93,neg,73
92,pos,100
92,neut,91
92,neg,71
91,pos,100
91,neut,92
91,neg,71
90,pos,100
90,neut,90
90,neg,72
89,pos,100
89,neut,88
89,neg,70
88,pos,100
88,neut,87
88,neg,68
87,pos,100
87,neut,89
87,neg,68
86,pos,100
86,neut,85
86,neg,66
85,pos,100
85,neut,84
85,neg,67
84,pos,100
84,neut,85
84,neg,64
83,pos,100
83,neut,84
83,neg,64
82,pos,100
82,neut,82
82,neg,64
81,pos,100
81,neut,81
81,neg,62
80,pos,99
80,neut,78
80,neg,57
79,pos,99
79,neut,77
79,neg,58
78,pos,98
78,neut,78
78,neg,59
77,pos,97
77,neut,77
77,neg,56
76,pos,97
76,neut,75
76,neg,54
75,pos,97
75,neut,76
75,neg,56
74,pos,93
74,neut,74
74,neg,55
73,pos,95
73,neut,75
73,neg,52
72,pos,90
72,neut,73
72,neg,52
71,pos,90
71,neut,69
71,neg,52
70,pos,91
70,neut,70
70,neg,51
69,pos,89
69,neut,68
69,neg,49
68,pos,88
68,neut,65
68,neg,48
67,pos,87
67,neut,67
67,neg,48
66,pos,86
66,neut,66
66,neg,48
65,pos,85
65,neut,64
65,neg,43
64,pos,83
64,neut,62
64,neg,44
63,pos,83
63,neut,64
63,neg,43
62,pos,82
62,neut,63
62,neg,44
61,pos,82
61,neut,61
61,neg,41
60,pos,79
60,neut,59
60,neg,40
59,pos,78
59,neut,57
59,neg,40
58,pos,78
58,neut,58
58,neg,39
57,pos,76
57,neut,57
57,neg,39
56,pos,74
56,neut,55
56,neg,37
55,pos,75
55,neut,55
55,neg,35
54,pos,74
54,neut,55
54,neg,35
53,pos,74
53,neut,53
53,neg,33
52,pos,71
52,neut,51
52,neg,32
51,pos,70
51,neut,52
51,neg,30
50,pos,71
50,neut,51
50,neg,29
49,pos,70
49,neut,47
49,neg,31
48,pos,70
48,neut,48
48,neg,28
47,pos,68
47,neut,46
47,neg,28
46,pos,67
46,neut,46
46,neg,25
45,pos,62
45,neut,47
45,neg,24
44,pos,66
44,neut,42
44,neg,25
43,pos,63
43,neut,43
43,neg,23
42,pos,62
42,neut,41
42,neg,20
41,pos,61
41,neut,43
41,neg,22
40,pos,59
40,neut,39
40,neg,20
39,pos,59
39,neut,42
39,neg,19
38,pos,60
38,neut,37
38,neg,17
37,pos,55
37,neut,36
37,neg,19
36,pos,58
36,neut,37
36,neg,17
35,pos,57
35,neut,35
35,neg,16
34,pos,53
34,neut,34
34,neg,15
33,pos,54
33,neut,33
33,neg,15
32,pos,51
32,neut,31
32,neg,13
31,pos,50
31,neut,30
31,neg,12
30,pos,50
30,neut,29
30,neg,10
29,pos,50
29,neut,29
29,neg,10
28,pos,50
28,neut,28
28,neg,8
27,pos,47
27,neut,26
27,neg,9
26,pos,46
26,neut,27
26,neg,4
25,pos,45
25,neut,24
25,neg,5
24,pos,44
24,neut,24
24,neg,5
23,pos,42
23,neut,25
23,neg,2
22,pos,41
22,neut,23
22,neg,2
21,pos,41
21,neut,20
21,neg,1
20,pos,41
20,neut,21
20,neg,1
19,pos,41
19,neut,19
19,neg,1
18,pos,39
18,neut,17
18,neg,1
17,pos,37
17,neut,18
17,neg,1
16,pos,36
16,neut,16
16,neg,1
15,pos,35
15,neut,16
15,neg,3
14,pos,32
14,neut,13
14,neg,1
13,pos,33
13,neut,12
13,neg,1
12,pos,34
12,neut,14
12,neg,1
11,pos,32
11,neut,10
11,neg,1
10,pos,29
10,neut,11
10,neg,1
9,pos,30
9,neut,9
9,neg,1
8,pos,29
8,neut,8
8,neg,1
7,pos,27
7,neut,6
7,neg,1
6,pos,27
6,neut,6
6,neg,1
5,pos,26
5,neut,5
5,neg,1
4,pos,25
4,neut,4
4,neg,1
3,pos,23
3,neut,4
3,neg,1
2,pos,22
2,neut,2
2,neg,1
1,pos,20
1,neut,1
1,neg,1
0,pos,19
0,neut,1
0,neg,1